,size order,paired,eyes,body,left,right
1,3,1000,0,0,0,0
2,3,1000,0,0,0,0
3,3,1000,0,0,0,0
4l,1,0,0,0,1,0
4r,1,0,0,0,0,1
6l,1,0,0,0,1,0
6r,1,0,0,0,0,1
8l,1,0,0,0,1,0
8r,1,0,0,0,0,1
10l,1,0,0,0,1,0
10r,1,0,0,0,0,1
11l,1,0,0,0,1,0
11r,1,0,0,0,0,1
13l,1,0,0,0,1,0
13r,1,0,0,0,0,1
14l,1,0,0,0,1,0
14r,1,0,0,0,0,1
15l,1,0,0,0,1,0
15r,1,0,0,0,0,1
18l,3,0,1000,0,1,0
18r,3,0,1000,0,0,1
20l,1,0,0,0,1,0
20r,1,0,0,0,0,1
21l,1,0,0,0,1,0
21r,1,0,0,0,0,1
24l,1,0,0,0,1,0
24r,1,0,0,0,0,1
25l,1,0,0,0,1,0
25r,1,0,0,0,0,1
26l,1,0,0,0,1,0
26r,1,0,0,0,0,1
30l,1,0,0,0,1,0
30r,1,0,0,0,0,1
32l,1,0,0,0,1,0
32r,1,0,0,0,0,1
34,3,1000,0,1000,0,0
