,Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,11,11,7,9,9,10,7,10,5,6,7,10,3,13,9,12,10
Lunaspis,11,0,7,11,6,5,7,9,13,6,9,9,10,9,12,15,16,11
Entelognathus,11,7,0,9,8,7,5,11,11,6,8,13,11,7,9,13,17,9
Eusthenopteron,7,11,9,0,9,11,8,12,12,11,8,15,14,7,18,7,11,9
Cowralepis,9,6,8,9,0,5,5,6,8,6,5,8,9,6,11,10,11,9
Eurycaraspis,9,5,7,11,5,0,2,7,10,8,6,8,10,10,9,10,16,10
Diandongpetalichthys,10,7,5,8,5,2,0,9,8,8,6,7,9,6,8,11,17,11
Meemannia,7,9,11,12,6,7,9,0,4,5,5,11,9,5,15,8,11,7
Dialipina,10,13,11,12,8,10,8,4,0,8,7,12,9,10,15,10,17,11
Wuttagoonaspis,5,6,6,11,6,8,8,5,8,0,8,7,6,6,11,14,14,13
Actinolepis,6,9,8,8,5,6,6,5,7,8,0,7,9,3,13,8,10,10
Romundina,7,9,13,15,8,8,7,11,12,7,7,0,7,6,10,12,19,15
Bothriolepis,10,10,11,14,9,10,9,9,9,6,9,7,0,10,11,16,16,18
Buchanosteus,3,9,7,7,6,10,6,5,10,6,3,6,10,0,13,8,10,7
Brindabellaspis,13,12,9,18,11,9,8,15,15,11,13,10,11,13,0,21,25,17
Moythomasia,9,15,13,7,10,10,11,8,10,14,8,12,16,8,21,0,16,8
Guiyu,12,16,17,11,11,16,17,11,17,14,10,19,16,10,25,16,0,19
Cheirolepis,10,11,9,9,9,10,11,7,11,13,10,15,18,7,17,8,19,0
