Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,14,12,10,9,9,11,7,16,5,6,8,13,3,0,13,16,13
Lunaspis,14,0,0,13,0,6,7,9,14,10,12,11,13,10,13,18,20,14
Entelognathus,12,0,0,9,8,7,5,11,14,7,8,14,13,8,10,13,17,10
Eusthenopteron,10,13,9,0,10,11,8,12,0,11,8,15,17,7,19,8,13,11
Cowralepis,9,0,8,10,0,5,5,6,9,0,8,10,9,6,11,14,12,9
Eurycaraspis,9,6,7,11,5,0,2,7,10,8,6,8,11,10,10,12,22,12
Diandongpetalichthys,11,7,5,8,5,2,0,9,8,8,7,8,10,0,8,0,17,12
Meemannia,7,9,11,12,6,7,9,0,7,5,5,0,11,5,15,8,13,7
Dialipina,16,14,14,0,9,10,8,7,0,8,7,14,9,10,16,14,19,11
Wuttagoonaspis,5,10,7,11,0,8,8,5,8,0,8,7,6,6,12,16,14,13
Actinolepis,6,12,8,8,8,6,7,5,7,8,0,8,9,0,18,8,13,10
Romundina,8,11,14,15,10,8,8,0,14,7,8,0,14,7,11,15,19,15
Bothriolepis,13,13,13,17,9,11,10,11,9,6,9,14,0,10,13,16,17,21
Buchanosteus,3,10,8,7,6,10,0,5,10,6,0,7,10,0,0,8,11,0
Brindabellaspis,0,13,10,19,11,10,8,15,16,12,18,11,13,0,0,24,27,19
Moythomasia,13,18,13,8,14,12,0,8,14,16,8,15,16,8,24,0,16,10
Guiyu,16,20,17,13,12,22,17,13,19,14,13,19,17,11,27,16,0,20
Cheirolepis,13,14,10,11,9,12,12,7,11,13,10,15,21,0,19,10,20,0
